Segment,Segment-Direction,Limits-Amy,Limts-From,Limits-To,Segment-Type
IH 820 - D,N to S,SH 26 to IH 30,SH 26,IH 30,Continuous
US 287 - A,N to S,BU 287P to Johnson County Line,BU 287P,Johnson County Line,Continuous
US 380 - A,W to E,BU 380F to Wise County Line,BU 380F,Wise County Line,Continuous
FM 731 - A,N to S,IH 20 to 85m N of Tarrant County Line,IH 20,85m N of Tarrant County Line,Continuous
FM 51 - H,N to S,FM 205 to US 67,FM 205,US 67,Continuous
US 380 - B,W to E,SH 114 to BU 380F,SH 114,BU 380F,Continuous
FM 51 - E,N to S,SH 171 to FM 167,SH 171,FM 167,Continuous
FM 2280,N to S,CR 807 (FM 917) to BU 67M,CR 807 (FM 917),BU 67M,Continuous
FM 4 - H,W to E,CR 1227 to SH 171,CR 1227,SH 171,Continuous
FM 4 - E,W to E,FM 1189 to BU 377H,FM 1189,BU 377H,Continuous
SH 183 - B,W to E,US 377 to IH 820,US 377,IH 820,Continuous
FM 219 - B,N to S,SH 6 to Erath County Line,SH 6,Erath County Line,Continuous
FM 2257,W to E,SH 199 to FM 730,SH 199,FM 730,Continuous
SH 121 - B,N to S,E of S Main St to IH 820,E of S Main St,IH 820,Continuous
IH 20 - B,W to E,"E of the Benbrook Blvd (US 377), IH 20 and SW Loop 820 Interchange to IH 35W","E of the Benbrook Blvd (US 377), IH 20 and SW Loop 820 Interchange",IH 35W,Continuous
FM 4 - G,W to E,FM 167 to CR 1227,FM 167,CR 1227,Continuous
US 287 - B,N to S,IH 20 to BU 287P,IH 20,BU 287P,Continuous
SH 183,W to E,IH 20 to Tarrant County Line,IH 20,Tarrant County Line,Continuous
BU 287P - B,N to S,IH 820 Interchange to Grove St,IH 820 Interchange,Grove St,Continuous
US 81/287 - B,N to S,N of FM 407 to Wise County Line,N of FM 407,Wise County Line,Continuous
IH 820 - A,N to S,SH 199 to IH 20,SH 199,IH 20,Continuous
SS 280,W to E,Grove St to N South Fwy (IH 35W),Grove St,N South Fwy (IH 35W),Continuous
FM 2331 - B,N to S,N SH 171 to US 67,N SH 171,US 67,Gap
IH 35W - D,N to S,N of SH 183 to S of E Altamesa Blvd,N of SH 183,S of E Altamesa Blvd,Continuous
IH 35W - A,N to S,N of US 67 to Johnson County Line,N of US 67,Johnson County Line,Continuous
FM 730 - D,N to S,Northwest Pkwy (SH 199)_ Frontage Rd to Fort Worth Hwy (SH 180),Northwest Pkwy (SH 199)_ Frontage Rd,Fort Worth Hwy (SH 180),Continuous
SH 6 - B,W to E,FM 847 to US 281,FM 847,US 281,Continuous
FM 56 - C,N to S,FM 51 to W Elm St (SH 144),FM 51,W Elm St (SH 144),Continuous
US 377 - D,N to S,100m E of Parker County Line to SW of BU 377F,100m E of Parker County Line,SW of BU 377F,Continuous
IH 30 - B,W to E,SH 199 to IH 820,SH 199,IH 820,Continuous
IH 20 - D,W to E,SH 171 to IH 30,SH 171,IH 30,Continuous
FM 2264,N to S,Left Frontage US 81 to FM 407,Left Frontage US 81,FM 407,Continuous
FM 1810 - B,W to E,SH 101 to US 81/287,SH 101,US 81/287,Continuous
FM 157 - A,N to S,SH 121 to SH 180,SH 121,SH 180,Continuous
SH 360,N to S,SH 121 to N of W Camp Wisdom Rd,SH 121,N of W Camp Wisdom Rd,Continuous
SH 183 - A,W to E,SH 121 to Tarrant County Line,SH 121,Tarrant County Line,Continuous
IH 35W - B,N to S,SH 174 to N of US 67,SH 174,N of US 67,Continuous
SH 183 - C,W to E,Tyra Ln to US 377,Tyra Ln,US 377,Continuous
SH 183 - D,N to S,Shenna Blvd to IH 20,Shenna Blvd,IH 20,Continuous
IH 35W - C,N to S,S of E Altamesa Blvd to SH 174,S of E Altamesa Blvd,SH 174,Continuous
